"replication","spearman_corr","top10_overlap"
625,0.997628967710104,0.9
626,0.968694399728882,0.9
627,0.998308007435797,0.9
628,0.981208309808716,0.9
629,0.996311648441466,0.9
630,0.998605432175412,0.9
631,0.994066634533166,0.9
632,0.999868819848536,1
633,0.990778231143343,0.9
634,0.888767597185447,0.6
635,0.965698971277065,0.9
636,0.971466626131941,0.9
637,0.922870342748639,0.7
638,0.99473357079848,0.9
639,0.99226375291284,0.9
640,0.999619986942502,1
641,0.947577777192382,0.8
642,0.996585400236516,0.9
643,0.995496444786506,0.9
644,0.99803158575978,0.9
645,0.96968741745618,0.8
646,0.844233804680052,0.5
647,0.997133793786938,0.9
648,0.996927500984296,0.9
649,0.958734675773215,0.8
650,0.872617843206078,0.6
651,0.913163901500616,0.7
652,0.993492076149277,0.9
653,0.962248417116571,0.8
654,0.991434665876856,0.9
655,0.991617819711126,0.9
656,0.990620352182218,0.9
657,0.971337047909056,0.9
658,0.997441364074224,0.9
659,0.973026726576422,0.8
660,0.981000949053687,0.9
661,0.998894313295936,1
662,0.999628530561593,1
663,0.804964483463469,0.5
664,0.946979545863927,0.8
665,0.995041141085766,0.9
666,0.974716405243789,0.9
667,0.996753602737376,0.9
668,0.995627090961776,0.9
669,0.988844169371553,0.9
670,0.996227458195004,0.9
671,0.995988058868383,0.9
672,0.998612195873859,0.9
673,0.997982459950006,0.9
674,0.991816636847063,0.9
675,0.992308784905134,0.9
676,0.984003675180146,0.9
677,0.980099597239557,0.8
678,0.993918723127648,0.9
679,0.995107532125788,0.9
680,0.99853459133378,1
681,0.883282237744712,0.6
682,0.89126179998391,0.6
683,0.994739622528669,0.9
684,0.975118667309337,0.9
685,0.982628508490577,0.9
686,0.969164476770968,0.9
687,0.983732415273997,0.9
688,0.998574105572077,0.9
689,0.997596217170254,0.9
690,0.992063511840388,0.9
691,0.99974404741139,1
692,0.97952147901438,0.9
693,0.998623231381852,1
694,0.959989519827248,0.8
695,0.999507673949865,1
696,0.995452836730727,0.9
697,0.963183765415003,0.8
698,0.97073027296151,0.8
699,0.923309983147711,0.7
700,0.986981660409652,0.9
701,0.99717918176336,0.9
702,0.964341781786001,0.8
