"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Ameen Al-Dakhil","Burnley","Premier League","2023-2024",21,"1","Standard Build-up Distributor",2.87945639770548,1.33794175310123,1.12260243652936,1.31120773612755
"Jonny Evans","Manchester Utd","Premier League","2023-2024",35,"2","Limited / Reactive Defender",2.87263773978412,1.13754496994157,1.3799975920487,1.50061992358261
"Abakar Sylla","Strasbourg","Ligue 1","2024-2025",21,"2","Limited / Reactive Defender",2.87176038761619,0.889475593171914,1.15191522685751,2.19621831014064
"Ibrahima Konaté","Liverpool","Premier League","2024-2025",25,"1","Standard Build-up Distributor",2.86921385745683,1.78436422470386,0.803863818609808,1.57016528557044
"Alessandro Buongiorno","Napoli","Serie A","2024-2025",25,"3","High-Intensity Ball-Winner",2.86898430903279,1.80560204349438,1.27743469778836,1.50095885272021
"Daley Blind","Girona","La Liga","2023-2024",33,"4","Elite Progressive Distributor",2.86674770753735,2.74956059941692,0.581619760974647,1.12150222067931
"Julien Le Cardinal","Brest","Ligue 1","2024-2025",26,"2","Limited / Reactive Defender",2.86633590027544,1.17893794999925,1.81617550901712,1.73747881061746
"Hauke Wahl","St Pauli","Bundesliga","2024-2025",30,"1","Standard Build-up Distributor",2.86254724734563,1.86943002276773,0.995861693039478,1.20522754707038
"Souleymane Touré","Lorient","Ligue 1","2023-2024",20,"1","Standard Build-up Distributor",2.86176834106199,1.55438062076524,1.43211888952355,1.21748098587824
"Marc Bartra","Betis","La Liga","2024-2025",33,"2","Limited / Reactive Defender",2.86134313033535,1.21341421606341,1.44211352946539,1.57211515860215
"Pau Cubarsí","Barcelona","La Liga","2024-2025",17,"4","Elite Progressive Distributor",2.85848546838669,2.60272235593185,0.638282469919704,1.15056404011959
"Konstantinos Koulierakis","Wolfsburg","Bundesliga","2024-2025",20,"3","High-Intensity Ball-Winner",2.85837650375682,1.65800566612683,1.22297240287696,1.52672090659404
"Germán Pezzella","Betis","La Liga","2023-2024",32,"2","Limited / Reactive Defender",2.85300660929444,0.88319354177071,1.12783175664005,1.31180532078299
